City,Country,Temperature,Humidity,Pressure,Weather,Latitude,Longitude
Finiq,AL,13.67,84,1022,light rain,39.9058,20.0576
Qereshnik,AL,15.58,72,1017,light rain,40.7602,20.01
Pirg,AL,10.4,84,1020,moderate rain,40.7872,20.7107
Orenjë,AL,11.62,84,1018,light rain,41.2843,20.2093
Lunik,AL,11.64,89,1019,light rain,41.2852,20.3233
Librazhd,AL,13.35,87,1019,light rain,41.1794,20.315
Kodovjat,AL,14.84,79,1018,light rain,40.8056,20.2509
Vlorë,AL,18.37,58,1016,overcast clouds,40.4667,19.4897
Shëngjin,AL,13.17,93,1017,overcast clouds,41.8136,19.5939
""
Dhërmi,AL,12.48,65,1018,overcast clouds,40.1526,19.6395
""
""
Wörterberg,AT,14.35,49,1010,broken clouds,47.2167,16.1
Wörgl,AT,10.68,62,1011,scattered clouds,47.4791,12.0805
Werfen,AT,12.83,75,1011,overcast clouds,47.4667,13.1833
Weiz,AT,16.6,52,1010,broken clouds,47.2167,15.6167
Wallsee,AT,14.88,63,1011,overcast clouds,48.1672,14.7157
Waldprechting,AT,13.07,99,1013,overcast clouds,47.8975,13.1145
Voitsberg,AT,17.22,44,1010,broken clouds,47.0333,15.15
Velm,AT,16.35,60,1011,light rain,48.0443,16.4462
Untertauern,AT,6.28,76,1011,broken clouds,47.3,13.5
Tobaj,AT,15.24,48,1010,broken clouds,47.1092,16.3348
Theresienfeld,AT,14.43,75,1011,broken clouds,47.8591,16.2491
Sulzberg,DE,10.4,71,1013,light rain,47.6667,10.35
Strobl,AT,10.48,78,1012,broken clouds,47.7167,13.4833
Straßgang,AT,18.15,44,1010,broken clouds,47.0333,15.4
Steinach am Brenner,AT,11,57,1010,overcast clouds,47.0881,11.4899
Stainz bei Straden,AT,19.85,50,1010,broken clouds,46.8212,15.8983
Seekirchen am Wallersee,AT,13.26,99,1013,overcast clouds,47.9,13.1333
Schwertberg,AT,13.84,70,1011,overcast clouds,48.2741,14.5818
Schwarzach,AT,14.01,58,1012,few clouds,47.4474,9.7637
Schwanenstadt,AT,13.31,79,1012,overcast clouds,48.0531,13.7765
Schwanberg,AT,18.02,41,1010,few clouds,46.7656,15.1922
Schönau an der Triesting,AT,14.73,69,1012,light rain,47.9249,16.2529
Schattendorf,AT,14.6,60,1011,light rain,47.7179,16.5113
Schärding,AT,13.01,89,1012,overcast clouds,48.4529,13.4372
Sautens,AT,11.27,69,1010,overcast clouds,47.2019,10.8546
Sankt Veit im Pongau,AT,13.27,70,1011,overcast clouds,47.3139,13.1345
Sankt Lorenzen im Mürztal,AT,9.21,78,1011,overcast clouds,47.5082,15.3648
Sankt Gotthard im Mühlkreis,AT,13.71,69,1011,broken clouds,48.38,14.132
St. Gilgen,AT,13.16,83,1012,overcast clouds,47.7667,13.3667
Rufling,AT,12.75,68,1011,broken clouds,48.2782,14.2168
Röns,AT,14.48,58,1011,broken clouds,47.2167,9.7
Rannersdorf,AT,16.54,60,1011,light rain,48.1312,16.4673
Ragnitz,AT,19.25,43,1010,broken clouds,46.8468,15.5907
Pöls,AT,13.31,44,1010,broken clouds,47.2226,14.5992
Plesching,AT,13.74,70,1011,broken clouds,48.3217,14.3409
Pamhagen,AT,15.87,58,1011,clear sky,47.7153,16.9061
Ohlsdorf,DE,15.03,56,1012,few clouds,53.6259,10.0315
Oberndorf in der Ebene,AT,14.11,75,1011,heavy intensity rain,48.2712,15.6905
Oberalm,AT,11.45,76,1013,broken clouds,47.7053,13.1092
Nitscha,AT,18.21,50,1010,scattered clouds,47.116,15.7467
Neuhofen an der Ybbs,AT,13.59,69,1012,overcast clouds,48.0494,14.8658
Neuberg an der Mürz,AT,7.41,92,1012,light rain,47.6727,15.5666
Nassereith,AT,6.4,80,1012,overcast clouds,47.3324,10.8171
Mühldorf,DE,13.66,99,1013,broken clouds,48.25,12.5333
Muckendorf an der Donau,AT,15.69,66,1011,light intensity shower rain,48.3329,16.1554
Mölln,DE,15.69,62,1012,clear sky,53.6333,10.6833
Mayrhofen,AT,13.86,57,1011,overcast clouds,47.1667,11.8667
Markt Piesting,AT,12.84,75,1012,broken clouds,47.8633,16.1124
Mariapfarr,AT,8.08,71,1011,broken clouds,47.1804,13.7247
Maria Ellend,AT,16.16,59,1011,light rain,48.1115,16.6856
Luftenberg an der Donau,AT,13.56,69,1011,broken clouds,48.2729,14.4117
Leogang,AT,11.75,52,1010,broken clouds,47.436,12.7156
Krottendorf bei Ligist,AT,18.44,43,1010,broken clouds,47.0124,15.2125
Koppl,AT,11.69,99,1013,overcast clouds,47.8068,13.156
Klöch,AT,19.54,43,1010,broken clouds,46.7651,15.9734
Kirnberg an der Mank,AT,13.86,69,1011,overcast clouds,48.0725,15.3223
Kautzen,AT,13.09,72,1011,overcast clouds,48.9323,15.235
Hönigsberg,AT,10.13,83,1011,overcast clouds,47.582,15.653
Hof bei Straden,AT,19.49,48,1010,broken clouds,46.8,15.9333
Groß-Schweinbarth,AT,15.4,56,1011,overcast clouds,48.4101,16.6232
Großdorf,DE,8.99,71,1013,moderate rain,47.6167,10.3333
Göfis,AT,14.31,60,1011,broken clouds,47.2398,9.6333
Gmünd,AT,12.32,76,1011,overcast clouds,48.7683,14.9808
Fohnsdorf,AT,12.54,44,1010,broken clouds,47.2183,14.6819
Ferndorf,AT,13.23,60,1010,overcast clouds,46.7567,13.651
Dorfbeuern,AT,13.73,99,1013,overcast clouds,48.0165,13.0198
Dietachdorf,AT,12.6,79,1012,overcast clouds,48.0838,14.4282
Burgau,DE,12.19,84,1013,overcast clouds,48.4316,10.4099
Brunn an der Schneebergbahn,AT,14.39,75,1012,broken clouds,47.8245,16.1601
Bruck an der Mur,AT,15.3,76,1011,overcast clouds,47.4036,15.2952
Berwang,AT,1.04,90,1013,light snow,47.4081,10.7474
Bad Ischl,AT,10.96,76,1012,overcast clouds,47.7111,13.6189
Asten,NL,16.09,66,1015,overcast clouds,51.4042,5.7486
Andlersdorf,AT,16.37,59,1011,broken clouds,48.1833,16.6667
Amstetten,AT,13.93,67,1012,overcast clouds,48.1229,14.8721
Bad Leonfelden,AT,11.82,72,1011,overcast clouds,48.5211,14.2958
Alberschwende,AT,12.06,73,1012,light rain,47.4503,9.8314
Ruggell,LI,15.12,60,1012,overcast clouds,47.2333,9.5167
Varėna,LT,3.63,96,1011,overcast clouds,54.2167,24.5667
Trakai,LT,4.51,94,1011,overcast clouds,54.6333,24.9333
Pakruojis,LT,3.6,92,1012,overcast clouds,55.9667,23.8667
Kelmė,LT,3.73,87,1012,overcast clouds,55.6339,22.9342
Kėdainiai,LT,4.05,86,1012,overcast clouds,55.2883,23.9747
Joniškis,LT,3.33,97,1012,overcast clouds,56.2403,23.6153
Vilkpėdė,LT,5.33,97,1011,mist,54.6667,25.2438
Strassen,LU,15.68,52,1013,clear sky,49.6206,6.0733
Schieren,LU,15.97,54,1014,broken clouds,49.8306,6.0986
